# compare batch (seat=north, start=1000, count=50)
seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
1000, North, 2C, 2C, true, 1, 0
1001, North, 3C, 3C, true, 3, 0
1002, North, 2C, 2C, true, 1, 0
1003, North, 4C, 4C, true, 5, 0
1004, North, 3C, 3C, true, 2, 0
1005, North, 2C, 2C, true, 1, 0
1006, North, 7C, 7C, true, 2, 0
1007, North, 7C, 7C, true, 2, 0
1008, North, 6C, 6C, true, 3, 1
1009, North, QC, QC, true, 1, 0
1010, North, 3C, 3C, true, 2, 0
1011, North, 3C, 3C, true, 3, 0
1012, North, 7C, 7C, true, 3, 1
1013, North, 3C, 3C, true, 2, 0
1014, North, 3C, 3C, true, 5, 1
1015, North, 3C, 3C, true, 4, 0
1016, North, 2C, 2C, true, 1, 0
1017, North, 5C, 5C, true, 2, 0
1018, North, 3C, 3C, true, 2, 0
1019, North, 2C, 2C, true, 1, 0
1020, North, 8C, 8C, true, 3, 1
1021, North, 2C, 2C, true, 1, 0
1022, North, 5C, 5C, true, 2, 0
1023, North, 4C, 4C, true, 3, 0
1024, North, 10C, 10C, true, 2, 0
1025, North, 4C, 4C, true, 6, 0
1026, North, 3C, 3C, true, 3, 0
1027, North, 4C, 4C, true, 6, 2
1028, North, 7C, 7C, true, 5, 2
1029, North, 5C, 5C, true, 4, 1
1030, North, 5C, 5C, true, 2, 0
1031, North, 7C, 7C, true, 2, 0
1032, North, 5C, 5C, true, 6, 1
1033, North, 8C, 8C, true, 3, 0
1034, North, 3C, 3C, true, 5, 0
1035, North, 6C, 6C, true, 4, 0
1036, North, 9C, 9C, true, 2, 0
1037, North, 2C, 2C, true, 1, 0
1038, North, 2C, 2C, true, 1, 0
1039, North, 3C, 3C, true, 4, 0
1040, North, 2C, 2C, true, 1, 0
1041, North, 8C, 8C, true, 2, 0
1042, North, 3C, 3C, true, 3, 0
1043, North, 5C, 5C, true, 3, 0
1044, North, 5C, 5C, true, 4, 1
1045, North, 3C, 3C, true, 4, 0
1046, North, 7C, 7C, true, 2, 0
1047, North, AC, AC, true, 1, 0
1048, North, 10C, 10C, true, 2, 0
1049, North, 3C, 3C, true, 3, 0
