seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
1000, East, 6C, 6C, true, 0, 0
1001, East, 5C, 5C, true, 0, 0
1002, East, 5C, 5C, true, 0, 0
1003, East, 2C, 2C, true, 0, 0
1004, East, 2C, 2C, true, 0, 0
1005, East, 3C, 3C, true, 0, 0
1006, East, 3C, 3C, true, 0, 0
1007, East, 5C, 5C, true, 0, 0
1008, East, 4C, 4C, true, 0, 0
1009, East, 4C, 4C, true, 0, 0
1010, East, 5C, 5C, true, 0, 0
1011, East, 2C, 2C, true, 0, 0
1012, East, 2C, 2C, true, 0, 0
1013, East, 5C, 5C, true, 0, 0
1014, East, 8C, 8C, true, 0, 0
1015, East, JC, JC, true, 0, 0
1016, East, 3C, 3C, true, 0, 0
1017, East, 6C, 6C, true, 0, 0
1018, East, 4C, 4C, true, 0, 0
1019, East, 7C, 7C, true, 0, 0
1020, East, 5C, 5C, true, 0, 0
1021, East, QC, QC, true, 0, 0
1022, East, 7C, 7C, true, 0, 0
1023, East, 6C, 6C, true, 0, 0
1024, East, 3C, 3C, true, 0, 0
1025, East, 2C, 2C, true, 0, 0
1026, East, 5C, 5C, true, 0, 0
1027, East, 2C, 2C, true, 0, 0
1028, East, 3C, 3C, true, 0, 0
1029, East, 4C, 4C, true, 0, 0
1030, East, 7C, 7C, true, 0, 0
1031, East, 3C, 3C, true, 0, 0
1032, East, 8C, 8C, true, 0, 0
1033, East, 2C, 2C, true, 0, 0
1034, East, 2C, 2C, true, 0, 0
1035, East, 8C, 8C, true, 0, 0
1036, East, 2C, 2C, true, 0, 0
1037, East, 5C, 5C, true, 0, 0
1038, East, 6C, 6C, true, 0, 0
1039, East, 6C, 6C, true, 0, 0
1040, East, 3C, 3C, true, 0, 0
1041, East, JC, JC, true, 0, 0
1042, East, 2C, 2C, true, 0, 0
1043, East, 3C, 3C, true, 0, 0
1044, East, 2C, 2C, true, 0, 0
1045, East, 8C, 8C, true, 0, 0
1046, East, JC, JC, true, 0, 0
1047, East, 2C, 2C, true, 0, 0
1048, East, 7C, 7C, true, 0, 0
1049, East, 7C, 7C, true, 0, 0
1050, East, 8C, 8C, true, 0, 0
1051, East, 2C, 2C, true, 0, 0
1052, East, 2C, 2C, true, 0, 0
1053, East, 3C, 3C, true, 0, 0
1054, East, 2C, 2C, true, 0, 0
1055, East, 4C, 4C, true, 0, 0
1056, East, 3C, 3C, true, 0, 0
1057, East, 6C, 6C, true, 0, 0
1058, East, 4C, 4C, true, 0, 0
1059, East, 4C, 4C, true, 0, 0
1060, East, JC, JC, true, 0, 0
1061, East, 10C, 10C, true, 0, 0
1062, East, 4C, 4C, true, 0, 0
1063, East, 6C, 6C, true, 0, 0
1064, East, 3C, 3C, true, 0, 0
1065, East, 2C, 2C, true, 0, 0
1066, East, 10C, 10C, true, 0, 0
1067, East, 6C, 6C, true, 0, 0
1068, East, JC, JC, true, 0, 0
1069, East, 2C, 2C, true, 0, 0
1070, East, 7C, 7C, true, 0, 0
1071, East, 2C, 2C, true, 0, 0
1072, East, 2C, 2C, true, 0, 0
1073, East, 2C, 2C, true, 0, 0
1074, East, 4C, 4C, true, 0, 0
1075, East, 4C, 4C, true, 0, 0
1076, East, 10C, 10C, true, 0, 0
1077, East, JC, JC, true, 0, 0
1078, East, 5C, 5C, true, 0, 0
1079, East, 2C, 2C, true, 0, 0
1080, East, 7C, 7C, true, 0, 0
1081, East, 2C, 2C, true, 0, 0
1082, East, 2C, 2C, true, 0, 0
1083, East, 5C, 5C, true, 0, 0
1084, East, 4C, 4C, true, 0, 0
1085, East, 2C, 2C, true, 0, 0
1086, East, 2C, 2C, true, 0, 0
1087, East, 2C, 2C, true, 0, 0
1088, East, 4C, 4C, true, 0, 0
1089, East, 8C, 8C, true, 0, 0
1090, East, 4C, 4C, true, 0, 0
1091, East, 7C, 7C, true, 0, 0
1092, East, 2C, 2C, true, 0, 0
1093, East, 4C, 4C, true, 0, 0
1094, East, 3C, 3C, true, 0, 0
1095, East, 2C, 2C, true, 0, 0
1096, East, 8C, 8C, true, 0, 0
1097, East, 7C, 7C, true, 0, 0
1098, East, 9C, 9C, true, 0, 0
1099, East, 7C, 7C, true, 0, 0
1100, East, 3C, 3C, true, 0, 0
1101, East, 3C, 3C, true, 0, 0
1102, East, 9C, 9C, true, 0, 0
1103, East, 4C, 4C, true, 0, 0
1104, East, 2C, 2C, true, 0, 0
1105, East, 6C, 6C, true, 0, 0
1106, East, 2C, 2C, true, 0, 0
1107, East, 2C, 2C, true, 0, 0
1108, East, 3C, 3C, true, 0, 0
1109, East, 4C, 4C, true, 0, 0
1110, East, 4C, 4C, true, 0, 0
1111, East, 4C, 4C, true, 0, 0
1112, East, 3C, 3C, true, 0, 0
1113, East, 3C, 3C, true, 0, 0
1114, East, 3C, 3C, true, 0, 0
1115, East, 4C, 4C, true, 0, 0
1116, East, 2C, 2C, true, 0, 0
1117, East, 4C, 4C, true, 0, 0
1118, East, 5C, 5C, true, 0, 0
1119, East, 5C, 5C, true, 0, 0
1120, East, 5C, 5C, true, 0, 0
1121, East, 9C, 9C, true, 0, 0
1122, East, 4C, 4C, true, 0, 0
1123, East, 10C, 10C, true, 0, 0
1124, East, 4C, 4C, true, 0, 0
1125, East, 5C, 5C, true, 0, 0
1126, East, 9C, 9C, true, 0, 0
1127, East, 2C, 2C, true, 0, 0
1128, East, 4C, 4C, true, 0, 0
1129, East, 8C, 8C, true, 0, 0
1130, East, 2C, 2C, true, 0, 0
1131, East, 2C, 2C, true, 0, 0
1132, East, 2C, 2C, true, 0, 0
1133, East, 3C, 3C, true, 0, 0
1134, East, 4C, 4C, true, 0, 0
1135, East, 4C, 4C, true, 0, 0
1136, East, 2C, 2C, true, 0, 0
1137, East, QC, QC, true, 0, 0
1138, East, 5C, 5C, true, 0, 0
1139, East, 8C, 8C, true, 0, 0
1140, East, 2C, 2C, true, 0, 0
1141, East, 2C, 2C, true, 0, 0
1142, East, 4C, 4C, true, 0, 0
1143, East, 4C, 4C, true, 0, 0
1144, East, 7C, 7C, true, 0, 0
1145, East, 5C, 5C, true, 0, 0
1146, East, 3C, 3C, true, 0, 0
1147, East, 8C, 8C, true, 0, 0
1148, East, 4C, 4C, true, 0, 0
1149, East, 6C, 6C, true, 0, 0
1150, East, 6C, 6C, true, 0, 0
1151, East, 5C, 5C, true, 0, 0
1152, East, 5C, 5C, true, 0, 0
1153, East, 6C, 6C, true, 0, 0
1154, East, 4C, 4C, true, 0, 0
1155, East, 2C, 2C, true, 0, 0
1156, East, 4C, 4C, true, 0, 0
1157, East, 7C, 7C, true, 0, 0
1158, East, QC, QC, true, 0, 0
1159, East, 3C, 3C, true, 0, 0
1160, East, 4C, 4C, true, 0, 0
1161, East, 10C, 10C, true, 0, 0
1162, East, 2C, 2C, true, 0, 0
1163, East, 2C, 2C, true, 0, 0
1164, East, 2C, 2C, true, 0, 0
1165, East, 2C, 2C, true, 0, 0
1166, East, 6C, 6C, true, 0, 0
1167, East, 2C, 2C, true, 0, 0
1168, East, 6C, 6C, true, 0, 0
1169, East, 9C, 9C, true, 0, 0
1170, East, 6C, 6C, true, 0, 0
1171, East, 2C, 2C, true, 0, 0
1172, East, 5C, 5C, true, 0, 0
1173, East, 2C, 2C, true, 0, 0
1174, East, 10C, 10C, true, 0, 0
1175, East, 3C, 3C, true, 0, 0
1176, East, 8C, 8C, true, 0, 0
1177, East, 4C, 4C, true, 0, 0
1178, East, 4C, 4C, true, 0, 0
1179, East, 2C, 2C, true, 0, 0
1180, East, 9C, 9C, true, 0, 0
1181, East, 5C, 5C, true, 0, 0
1182, East, 9C, 9C, true, 0, 0
1183, East, 8C, 8C, true, 0, 0
1184, East, 4C, 4C, true, 0, 0
