seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2000, North, 4C, 4C, true, 3, 0
2001, North, 4C, 4C, true, 6, 0
2002, North, 7C, 7C, true, 2, 0
2003, North, JC, JC, true, 1, 0
2004, North, 2C, 2C, true, 1, 0
2005, North, 2C, 2C, true, 1, 0
2006, North, 4C, 4C, true, 3, 0
2007, North, 6C, 6C, true, 3, 0
2008, North, 5C, 5C, true, 6, 0
2009, North, 8C, 8C, true, 1, 0
2010, North, 7C, 7C, true, 3, 0
2011, North, 3C, 3C, true, 3, 0
2012, North, 10S, 8S, false, 6, 0
2013, North, 7S, QD, false, 6, 0
2014, North, 8C, 8C, true, 3, 0
2015, North, 2C, 2C, true, 1, 0
2016, North, 9C, 9C, true, 2, 0
2017, North, 4C, 4C, true, 3, 0
2018, North, 2C, 2C, true, 1, 0
2019, North, 5C, 5C, true, 2, 0
2020, North, 5C, 5C, true, 5, 1
2021, North, 8C, 8C, true, 3, 0
2022, North, 2C, 2C, true, 1, 0
2023, North, 2C, 2C, true, 1, 0
2024, North, 4C, 4C, true, 5, 1
2025, North, 8C, 8C, true, 4, 2
2026, North, 6C, 6C, true, 5, 0
2027, North, 2C, 2C, true, 1, 0
2028, North, 3C, 3C, true, 4, 0
2029, North, JC, JC, true, 2, 0
2030, North, 3C, 3C, true, 3, 0
2031, North, 7C, 7C, true, 3, 0
2032, North, 5C, 5C, true, 5, 1
2033, North, 2C, 2C, true, 1, 0
2034, North, 4C, 4C, true, 3, 0
2035, North, 2C, 2C, true, 1, 0
2036, North, 2C, 2C, true, 1, 0
2037, North, 2C, 2C, true, 1, 0
2038, North, 4C, 4C, true, 2, 0
2039, North, KC, KC, true, 1, 0
2040, North, 4C, 4C, true, 3, 0
2041, North, JC, JC, true, 1, 0
2042, North, 4C, 4C, true, 3, 0
2043, North, 3C, 3C, true, 4, 0
2044, North, 2C, 2C, true, 1, 0
2045, North, 7C, 7C, true, 1, 0
2046, North, 2C, 2C, true, 1, 0
2047, North, 2C, 2C, true, 1, 0
2048, North, 2C, 2C, true, 1, 0
2049, North, 3C, 3C, true, 6, 1
2050, North, 3C, 3C, true, 4, 0
2051, North, 4C, 4C, true, 4, 0
2052, North, 2C, 2C, true, 1, 0
2053, North, 5C, 5C, true, 4, 1
2054, North, 5C, 5C, true, 4, 2
2055, North, 4C, 4C, true, 4, 0
2056, North, 2C, 2C, true, 1, 0
2057, North, 5C, 5C, true, 4, 0
2058, North, 3C, 3C, true, 4, 0
2059, North, JC, JC, true, 2, 0
2060, North, 3C, 3C, true, 6, 0
2061, North, 4C, 4C, true, 3, 0
2062, North, 7C, 7C, true, 5, 1
2063, North, 4C, 4C, true, 3, 0
2064, North, 2C, 2C, true, 1, 0
2065, North, 3C, 3C, true, 2, 0
2066, North, 2C, 2C, true, 1, 0
2067, North, 4C, 4C, true, 3, 0
2068, North, 2C, 2C, true, 1, 0
2069, North, 9S, KD, false, 6, 0
2070, North, 4C, 4C, true, 4, 0
2071, North, 5C, 5C, true, 2, 0
2072, North, 6C, 6C, true, 4, 0
2073, North, 2C, 2C, true, 1, 0
2074, North, 3C, 3C, true, 5, 0
2075, North, 9C, 9C, true, 2, 0
2076, North, 2C, 2C, true, 1, 0
2077, North, 3C, 3C, true, 3, 0
2078, North, 3C, 3C, true, 6, 0
2079, North, 5C, 5C, true, 4, 0
2080, North, 4C, 4C, true, 4, 0
2081, North, 5C, 5C, true, 2, 0
2082, North, 6C, 6C, true, 3, 0
2083, North, 4C, 4C, true, 4, 0
2084, North, 4C, 4C, true, 1, 0
2085, North, 5C, 5C, true, 2, 0
