seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2000, South, 2C, 2C, true, 1, 0
2001, South, 7C, 7C, true, 2, 0
2002, South, 2C, 2C, true, 1, 0
2003, South, 4C, 4C, true, 3, 0
2004, South, 6C, 6C, true, 2, 0
2005, South, 5C, 5C, true, 5, 1
2006, South, 9S, 6S, false, 6, 0
2007, South, 2C, 2C, true, 1, 0
2008, South, 8C, 8C, true, 1, 0
2009, South, 4C, 4C, true, 5, 1
2010, South, 4C, 4C, true, 2, 0
2011, South, 4C, 4C, true, 4, 0
2012, South, 2C, 2C, true, 1, 0
2013, South, 4C, 4C, true, 1, 0
2014, South, 3C, 3C, true, 4, 0
2015, South, 3C, 3C, true, 3, 0
2016, South, 2C, 2C, true, 1, 0
2017, South, KC, KC, true, 1, 0
2018, South, 7C, 7C, true, 3, 0
2019, South, 7C, 7C, true, 3, 0
2020, South, 2C, 2C, true, 1, 0
2021, South, 4C, 4C, true, 4, 0
2022, South, QC, QC, true, 2, 1
2023, South, 5C, 5C, true, 4, 0
2024, South, 3C, 3C, true, 3, 0
2025, South, 8S, KD, false, 6, 0
2026, South, 2C, 2C, true, 1, 0
2027, South, 5C, 5C, true, 3, 0
2028, South, 2C, 2C, true, 1, 0
2029, South, 2C, 2C, true, 1, 0
2030, South, 4C, 4C, true, 4, 0
2031, South, 3C, 3C, true, 6, 0
2032, South, 4C, 4C, true, 3, 0
2033, South, 4C, 4C, true, 6, 0
2034, South, 3C, 3C, true, 3, 0
2035, South, 6C, 6C, true, 3, 0
2036, South, QC, QC, true, 2, 0
2037, South, 9C, 9C, true, 2, 0
2038, South, 5C, 5C, true, 5, 1
2039, South, 3C, 3C, true, 2, 0
2040, South, 10C, 10C, true, 4, 1
2041, South, 4C, 4C, true, 5, 0
2042, South, 10C, 10C, true, 2, 0
2043, South, 2C, 2C, true, 1, 0
2044, South, 4C, 4C, true, 5, 0
2045, South, 6C, 6C, true, 3, 0
2046, South, 7C, 7C, true, 4, 0
2047, South, 3C, 3C, true, 5, 0
2048, South, 4C, 4C, true, 4, 1
2049, South, 8C, 8C, true, 1, 0
2050, South, 2C, 2C, true, 1, 0
2051, South, 2C, 2C, true, 1, 0
2052, South, 7C, 7C, true, 2, 0
2053, South, 4C, 4C, true, 3, 0
2054, South, 3C, 3C, true, 4, 0
2055, South, 3C, 3C, true, 4, 0
2056, South, 3C, 3C, true, 4, 0
2057, South, 10C, 10C, true, 2, 0
2058, South, 7C, 7C, true, 3, 0
2059, South, 6C, 6C, true, 4, 0
2060, South, 2C, 2C, true, 1, 0
2061, South, 5C, 5C, true, 3, 0
2062, South, 4C, 4C, true, 2, 0
2063, South, 6C, 6C, true, 3, 0
2064, South, 10C, 10C, true, 2, 1
2065, South, 5C, 5C, true, 3, 0
2066, South, 4C, 4C, true, 2, 0
2067, South, 2C, 2C, true, 1, 0
2068, South, AS, 2S, false, 6, 0
2069, South, 2C, 2C, true, 1, 0
2070, South, 7C, 7C, true, 3, 0
2071, South, 3C, 3C, true, 3, 0
2072, South, 4C, 4C, true, 1, 0
2073, South, 4C, 4C, true, 4, 0
2074, South, 2C, 2C, true, 1, 0
2075, South, 2C, 2C, true, 1, 0
2076, South, 5C, 5C, true, 2, 0
2077, South, 2C, 2C, true, 1, 0
2078, South, 2C, 2C, true, 1, 0
2079, South, 2C, 2C, true, 1, 0
2080, South, 9C, 9C, true, 2, 0
2081, South, 6C, 6C, true, 2, 0
2082, South, 9C, 9C, true, 4, 1
2083, South, 8C, 8C, true, 4, 1
2084, South, 5C, 5C, true, 3, 0
2085, South, 3C, 3C, true, 4, 0
2086, South, 2C, 2C, true, 1, 0
2087, South, 7C, 7C, true, 2, 0
