seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2000, West, 3C, 3C, true, 5, 1
2001, West, 2C, 2C, true, 1, 0
2002, West, 3C, 3C, true, 6, 1
2003, West, 2C, 2C, true, 1, 0
2004, West, 3C, 3C, true, 2, 0
2005, West, 6C, 6C, true, 1, 0
2006, West, 5C, 5C, true, 6, 2
2007, West, 3C, 3C, true, 6, 1
2008, West, 2C, 2C, true, 1, 0
2009, West, 2C, 2C, true, 1, 0
2010, West, 3C, 3C, true, 1, 0
2011, West, 2C, 2C, true, 1, 0
2012, West, JC, JC, true, 1, 0
2013, West, 3C, 3C, true, 6, 1
2014, West, 5C, 5C, true, 4, 0
2015, West, 6C, 6C, true, 3, 0
2016, West, 3C, 3C, true, 4, 0
2017, West, 2C, 2C, true, 1, 0
2018, West, 3C, 3C, true, 2, 0
2019, West, 4C, 4C, true, 4, 0
2020, West, 3C, 3C, true, 3, 0
2021, West, 5C, 5C, true, 2, 0
2022, West, 4C, 4C, true, 4, 0
2023, West, JC, JC, true, 2, 0
2024, West, 5C, 5C, true, 3, 0
2025, West, 2C, 2C, true, 1, 0
2026, West, 3C, 3C, true, 5, 0
2027, West, 7C, 7C, true, 2, 0
2028, West, 10C, 10C, true, 3, 0
2029, West, 5C, 5C, true, 3, 0
2030, West, 6C, 6C, true, 3, 0
2031, West, 2C, 2C, true, 1, 0
2032, West, 2C, 2C, true, 1, 0
2033, West, 5C, 5C, true, 1, 0
2034, West, 6C, 6C, true, 3, 0
2035, West, 4C, 4C, true, 4, 0
2036, West, 4C, 4C, true, 2, 0
2037, West, 3C, 3C, true, 4, 0
2038, West, 2C, 2C, true, 1, 0
2039, West, 5C, 5C, true, 6, 0
2040, West, 3C, 3C, true, 3, 0
2041, West, 3C, 3C, true, 3, 0
2042, West, 3C, 3C, true, 3, 0
2043, West, 4C, 4C, true, 4, 0
2044, West, 7C, 7C, true, 3, 0
2045, West, 3C, 3C, true, 6, 1
